,extension_name,perc_change_files,cy_comp,criticality
0,py,99.0,0.0,high critical
1,pyc,0.0,0.0,none Non-critical
2,pyc,0.0,0.0,none Non-critical
3,pyc,0.0,0.0,none Non-critical
4,pyc,0.0,0.0,none Non-critical
5,py,0.0,0.0,high Non-critical
6,py,0.0,0.0,high Non-critical
7,py,0.0,0.0,high Non-critical
8,py,0.0,0.0,high Non-critical
9,py,0.0,0.0,high Non-critical
10,txt,2.0,0.0,low Non-critical
11,txt,0.25,0.0,low Non-critical
12,py,0.0,0.0,high Non-critical
13,png,0.0,0.0,low Non-critical
14,iml,0.0,0.0,medium Non-critical
15,xml,0.0,0.0,medium Non-critical
16,xml,0.0,0.0,medium Non-critical
17,xml,0.0,0.0,medium Non-critical
18,xml,0.0,0.0,medium Non-critical
19,xml,0.0,0.0,medium Non-critical
20,py,99.0,0.0,high critical
21,png,0.0,0.0,low Non-critical
22,py,0.0,0.0,high Non-critical
23,txt,2.0,0.0,low Non-critical
24,txt,0.25,0.0,low Non-critical
25,text_gitpredictions,0.0,0.0,none Non-critical
26,py,0.0,0.0,high Non-critical
27,pyc,0.0,0.0,none Non-critical
28,pyc,0.0,0.0,none Non-critical
29,pyc,0.0,0.0,none Non-critical
30,pyc,0.0,0.0,none Non-critical
31,py,0.0,0.0,high Non-critical
32,py,0.0,0.0,high Non-critical
33,py,0.0,0.0,high Non-critical
34,py,3.25,3.0,high Non-critical
35,py,35.0,3.0,high critical
36,txt,0.0,0.0,low Non-critical
37,txt,16.0,3.0,low Non-critical
38,py,3.25,1.0,high Non-critical
39,png,0.0,0.0,low Non-critical
40,iml,0.0,0.0,medium Non-critical
41,xml,0.0,0.0,medium Non-critical
42,xml,0.0,0.0,medium Non-critical
43,xml,0.0,0.0,medium Non-critical
44,xml,0.0,0.0,medium Non-critical
45,xml,0.0,0.0,medium Non-critical
46,py,0.0,0.0,high Non-critical
47,png,0.0,0.0,low Non-critical
48,py,35.0,3.0,high critical
49,txt,0.0,0.0,low Non-critical
50,txt,16.0,3.0,low Non-critical
51,text_gitpredictions,0.0,0.0,none Non-critical
52,py,99.0,0.0,high critical
53,pyc,0.0,0.0,none Non-critical
54,pyc,0.0,0.0,none Non-critical
55,pyc,0.0,0.0,none Non-critical
56,pyc,0.0,0.0,none Non-critical
57,py,0.0,0.0,high Non-critical
58,py,0.0,0.0,high Non-critical
59,py,0.0,0.0,high Non-critical
60,py,0.0,0.0,high Non-critical
61,py,0.0,0.0,high Non-critical
62,txt,2.0,0.0,low Non-critical
63,txt,0.25,0.0,low Non-critical
64,py,0.0,0.0,high Non-critical
65,png,0.0,0.0,low Non-critical
66,iml,0.0,0.0,medium Non-critical
67,xml,0.0,0.0,medium Non-critical
68,xml,0.0,0.0,medium Non-critical
69,xml,0.0,0.0,medium Non-critical
70,xml,0.0,0.0,medium Non-critical
71,xml,0.0,0.0,medium Non-critical
72,py,99.0,0.0,high critical
73,png,0.0,0.0,low Non-critical
74,py,0.0,0.0,high Non-critical
75,txt,2.0,0.0,low Non-critical
76,txt,0.25,0.0,low Non-critical
77,text_gitpredictions,0.0,0.0,none Non-critical
78,py,0.0,0.0,high Non-critical
79,pyc,0.0,0.0,none Non-critical
80,pyc,0.0,0.0,none Non-critical
81,pyc,0.0,0.0,none Non-critical
82,pyc,0.0,0.0,none Non-critical
83,py,0.0,0.0,high Non-critical
84,py,0.0,0.0,high Non-critical
85,py,0.0,0.0,high Non-critical
86,py,3.25,3.0,high Non-critical
87,py,35.0,3.0,high critical
88,txt,0.0,0.0,low Non-critical
89,txt,16.0,3.0,low Non-critical
90,py,3.25,1.0,high Non-critical
91,png,0.0,0.0,low Non-critical
92,iml,0.0,0.0,medium Non-critical
93,xml,0.0,0.0,medium Non-critical
94,xml,0.0,0.0,medium Non-critical
95,xml,0.0,0.0,medium Non-critical
96,xml,0.0,0.0,medium Non-critical
97,xml,0.0,0.0,medium Non-critical
98,py,21.0,0.0,high Non-critical
99,c,26.0,1.0,high critical
100,java,55.0,0.0,high critical
101,txt,88.0,3.0,low critical
102,zip,10.0,2.0,low Non-critical
103,exe,18.0,0.0,medium Non-critical
104,config,65.0,0.0,medium critical
105,gufv juyvbnl,75.0,1.0,none critical
106,gyvgfjkvjft,16.0,0.0,none Non-critical
107,py,99.0,0.0,high critical
108,pyc,0.0,0.0,none Non-critical
109,pyc,0.0,0.0,none Non-critical
110,pyc,0.0,0.0,none Non-critical
111,pyc,0.0,0.0,none Non-critical
112,py,0.0,0.0,high Non-critical
113,py,0.0,0.0,high Non-critical
114,py,0.0,0.0,high Non-critical
115,py,0.0,0.0,high Non-critical
116,py,0.0,0.0,high Non-critical
117,txt,2.0,0.0,low Non-critical
118,txt,0.25,0.0,low Non-critical
119,py,0.0,0.0,high Non-critical
120,png,0.0,0.0,low Non-critical
121,iml,0.0,0.0,medium Non-critical
122,xml,0.0,0.0,medium Non-critical
123,xml,0.0,0.0,medium Non-critical
124,xml,0.0,0.0,medium Non-critical
125,xml,0.0,0.0,medium Non-critical
126,xml,0.0,0.0,medium Non-critical
127,py,99.0,0.0,high critical
128,png,0.0,0.0,low Non-critical
129,py,0.0,0.0,high Non-critical
130,txt,2.0,0.0,low Non-critical
131,txt,0.25,0.0,low Non-critical
132,text_gitpredictions,0.0,0.0,none Non-critical
133,py,0.0,0.0,high Non-critical
134,pyc,0.0,0.0,none Non-critical
135,pyc,0.0,0.0,none Non-critical
136,pyc,0.0,0.0,none Non-critical
137,pyc,0.0,0.0,none Non-critical
138,py,0.0,0.0,high Non-critical
139,py,0.0,0.0,high Non-critical
140,py,0.0,0.0,high Non-critical
141,py,3.25,3.0,high Non-critical
142,py,35.0,3.0,high critical
143,txt,0.0,0.0,low Non-critical
144,txt,16.0,3.0,low Non-critical
145,py,3.25,1.0,high Non-critical
146,png,0.0,0.0,low Non-critical
147,iml,0.0,0.0,medium Non-critical
148,xml,0.0,0.0,medium Non-critical
149,xml,0.0,0.0,medium Non-critical
150,xml,0.0,0.0,medium Non-critical
151,xml,0.0,0.0,medium Non-critical
152,xml,0.0,0.0,medium Non-critical
153,py,0.0,0.0,high Non-critical
154,png,0.0,0.0,low Non-critical
155,py,35.0,3.0,high critical
156,txt,0.0,0.0,low Non-critical
157,txt,16.0,3.0,low Non-critical
158,text_gitpredictions,0.0,0.0,none Non-critical
159,py,99.0,0.0,high critical
160,pyc,0.0,0.0,none Non-critical
161,pyc,0.0,0.0,none Non-critical
162,pyc,0.0,0.0,none Non-critical
